# VersionTag: 2604.B0.v1
# VersionTag: 2604.B0.v1
# VersionTag: 2604.B0.v1
# VersionTag: 2604.B0.v1
# VersionTag: 2604.B0.v1
# VersionTag: 2604.B0.v1
# VersionTag: 2604.B0.v1
# VersionTag: 2604.B0.v1
"RecordType","InstanceId","TemplateId","Type","Model","Name","Location","AvInputs","AvOutputs","PowerInputs","PowerOutputs","NetworkInterfaces","UsbInputs","UsbPlugs","SourceInstance","SourceConnector","DestInstance","DestConnector"
"Device","5e7f2c39-015d-4acf-8164-b56512f56cd1","1","Audio Player","Sonos Play:5","Living Room Speaker","360,120","2","0","1","0","1","0","0","","","",""
"Device","bfd6d758-5bc6-44ce-bca3-cda1d1c99f9a","2","Video Media Player","Sony BDP-S6700","Blu-ray Player","160,320","0","2","1","0","1","1","0","","","",""
"Device","d21a66c3-4e47-4cc6-bdce-3ca01a97eb62","10","Power Board","Belkin 12-Outlet","Power Strip","560,300","0","0","1","12","0","0","0","","","",""
"Device","0461c985-3a51-450a-bcd8-837fc90483af","6","Networking","Cisco SG300-28","Network Switch","80,520","0","0","1","0","28","0","0","","","",""
"Device","1d0bcabe-6619-46d7-b90b-c645039757cf","6","Networking","Cisco SG300-28","Network Switch","300,540","0","0","1","0","28","0","0","","","",""
"Device","0add6a0f-e784-43c3-a4ef-2ecdc8f673d9","6","Networking","Cisco SG300-28","Network Switch","20,700","0","0","1","0","28","0","0","","","",""
"Device","1a83bcbb-c98e-4167-9468-fb69246d3d45","6","Networking","Cisco SG300-28","Network Switch","260,700","0","0","1","0","28","0","0","","","",""
"Device","571b1c2d-ac65-464d-9082-8128187ed5f5","6","Networking","Cisco SG300-28","Network Switch","480,700","0","0","1","0","28","0","0","","","",""
"Device","652aa0ba-a3db-49c1-8f87-8164d3a8bc86","6","Networking","Cisco SG300-28","Network Switch","540,580","0","0","1","0","28","0","0","","","",""
"Connection","","","","","","","","","","","","","","bfd6d758-5bc6-44ce-bca3-cda1d1c99f9a","AV Output:1","5e7f2c39-015d-4acf-8164-b56512f56cd1","AV Input:0"
"Connection","","","","","","","","","","","","","","d21a66c3-4e47-4cc6-bdce-3ca01a97eb62","Power Output:6","bfd6d758-5bc6-44ce-bca3-cda1d1c99f9a","Power Input:0"
"Connection","","","","","","","","","","","","","","d21a66c3-4e47-4cc6-bdce-3ca01a97eb62","Power Output:11","5e7f2c39-015d-4acf-8164-b56512f56cd1","Power Input:0"










