# VersionTag: 2605.B2.V31.7

RuleName                             ScriptName                          Line Message
--------                             ----------                          ---- -------
PSAvoidUsingPositionalParameters     AssistedSASC.psm1                    450 Cmdlet 'Join-Path' has positional parameter. Plea…
PSAvoidUsingPositionalParameters     AssistedSASC.psm1                    451 Cmdlet 'Join-Path' has positional parameter. Plea…
PSAvoidUsingPositionalParameters     AssistedSASC.psm1                    452 Cmdlet 'Join-Path' has positional parameter. Plea…
PSAvoidUsingPositionalParameters     PwSh-HelpFilesUpdateSource-ReR.psm1  132 Cmdlet 'Write-Verbose' has positional parameter. …
PSAvoidUsingPositionalParameters     SASC-Adapters.psm1                    61 Cmdlet 'Join-Path' has positional parameter. Plea…
PSAvoidUsingPositionalParameters     SASC-Adapters.psm1                   423 Cmdlet 'Join-Path' has positional parameter. Plea…
PSAvoidUsingPositionalParameters     UserProfileManager.psm1             1400 Cmdlet 'Compare-SimpleLists' has positional param…
PSAvoidUsingPositionalParameters     UserProfileManager.psm1             1402 Cmdlet 'Compare-SimpleLists' has positional param…
PSAvoidUsingPositionalParameters     UserProfileManager.psm1             1404 Cmdlet 'Compare-SimpleLists' has positional param…
PSAvoidUsingPositionalParameters     UserProfileManager.psm1             1405 Cmdlet 'Compare-SimpleLists' has positional param…
PSAvoidUsingPositionalParameters     UserProfileManager.psm1             1406 Cmdlet 'Compare-SimpleLists' has positional param…
PSAvoidUsingPositionalParameters     UserProfileManager.psm1             1407 Cmdlet 'Compare-SimpleLists' has positional param…
PSReviewUnusedParameter              AssistedSASC.psm1                   1154 The parameter 'Passphrase' has been declared but …
PSReviewUnusedParameter              AVPN-Tracker.psm1                   1359 The parameter 'srcIndex' has been declared but no…
PSReviewUnusedParameter              PwShGUI-NetworkTools.psm1             24 The parameter 'TimeoutMs' has been declared but n…
PSReviewUnusedParameter              PwShGUICore.psm1                     846 The parameter 'Activity' has been declared but no…
PSReviewUnusedParameter              RE-memorAiZ.psm1                     266 The parameter 'WorkspacePath' has been declared b…
PSReviewUnusedParameter              RE-memorAiZ.psm1                     418 The parameter 'WorkspacePath' has been declared b…
PSReviewUnusedParameter              SASC-Adapters.psm1                   123 The parameter 'UseKey' has been declared but not …
PSReviewUnusedParameter              SASC-Adapters.psm1                   209 The parameter 'ConnectionFile' has been declared …
PSReviewUnusedParameter              UserProfileManager.psm1             1169 The parameter 'ProgressCallback' has been declare…
PSReviewUnusedParameter              UserProfileManager.psm1             1550 The parameter 'ProgressCallback' has been declare…
PSUseDeclaredVarsMoreThanAssignments AssistedSASC.psm1                     94 The variable 'varName' is assigned but never used.
PSUseDeclaredVarsMoreThanAssignments AVPN-Tracker.psm1                   1389 The variable 'isPowerInputUsed' is assigned but n…
PSUseDeclaredVarsMoreThanAssignments PwShGUI-CoverageReport.psm1           59 The variable 'analysed' is assigned but never use…
PSUseDeclaredVarsMoreThanAssignments PwShGUI-CoverageReport.psm1           60 The variable 'covered' is assigned but never used.
PSUseDeclaredVarsMoreThanAssignments PwShGUI-IntegrityCore.psm1           285 The variable 'secKey' is assigned but never used.
PSUseSingularNouns                   AssistedSASC.psm1                    592 The cmdlet 'Set-VaultFilePermissions' uses a plur…
PSUseSingularNouns                   AssistedSASC.psm1                   1098 The cmdlet 'Import-VaultSecrets' uses a plural no…
PSUseSingularNouns                   AssistedSASC.psm1                   1145 The cmdlet 'Import-Certificates' uses a plural no…
PSUseSingularNouns                   CronAiAthon-EventLog.psm1             72 The cmdlet 'Register-EventLogSources' uses a plur…
PSUseSingularNouns                   CronAiAthon-EventLog.psm1            357 The cmdlet 'Get-SyslogEntries' uses a plural noun…
PSUseSingularNouns                   CronAiAthon-Pipeline.psm1            323 The cmdlet 'Get-PipelineActiveTodoFiles' uses a p…
PSUseSingularNouns                   CronAiAthon-Pipeline.psm1            586 The cmdlet 'Get-PipelineItems' uses a plural noun…
PSUseSingularNouns                   CronAiAthon-Pipeline.psm1            631 The cmdlet 'Get-PipelineStatistics' uses a plural…
PSUseSingularNouns                   CronAiAthon-Pipeline.psm1            971 The cmdlet 'Get-PipelineHealthMetrics' uses a plu…
PSUseSingularNouns                   CronAiAthon-Pipeline.psm1           1054 The cmdlet 'Get-ValidCategories' uses a plural no…
PSUseSingularNouns                   CronAiAthon-Pipeline.psm1           1263 The cmdlet 'Get-PipelineInterruptions' uses a plu…
PSUseSingularNouns                   CronAiAthon-Scheduler.psm1          1155 The cmdlet 'Invoke-AllCronJobs' uses a plural nou…
PSUseSingularNouns                   PwShGUI-ConvoVault.psm1              178 The cmdlet 'Get-ConvoEntries' uses a plural noun.…
PSUseSingularNouns                   PwShGUI-SinDriftScan.psm1              7 The cmdlet 'Get-ResolvedSinPatterns' uses a plura…
PSUseSingularNouns                   PwShGUI-TrayHost.psm1                326 The cmdlet 'Get-CompletedBackgroundTasks' uses a …
PSUseSingularNouns                   PwShGUI-XhtmlReportTester.psm1         5 The cmdlet 'Test-XhtmlReports' uses a plural noun…
PSUseSingularNouns                   PwShGUICore.psm1                       2 The cmdlet 'Get-AllProjectFiles' uses a plural no…
PSUseSingularNouns                   PwShGUICore.psm1                      26 The cmdlet 'Test-ConfigPaths' uses a plural noun.…
PSUseSingularNouns                   PwShGUICore.psm1                     114 The cmdlet 'Initialize-CorePaths' uses a plural n…
PSUseSingularNouns                   PwShGUICore.psm1                     229 The cmdlet 'Get-AllProjectPaths' uses a plural no…
PSUseSingularNouns                   PwShGUICore.psm1                     866 The cmdlet 'Assert-DirectoryExists' uses a plural…
PSUseSingularNouns                   RE-memorAiZ.psm1                      73 The cmdlet 'Get-DirectoriesWithChanges' uses a pl…
PSUseSingularNouns                   RE-memorAiZ.psm1                      99 The cmdlet 'Test-ReadmeExists' uses a plural noun…
PSUseSingularNouns                   UserProfileManager.psm1              153 The cmdlet 'Get-WingetApplications' uses a plural…
PSUseSingularNouns                   UserProfileManager.psm1              256 The cmdlet 'Get-UserAppConfigs' uses a plural nou…
PSUseSingularNouns                   UserProfileManager.psm1              374 The cmdlet 'Get-PrintDrivers' uses a plural noun.…
PSUseSingularNouns                   UserProfileManager.psm1              395 The cmdlet 'Get-MimeTypes' uses a plural noun. A …
PSUseSingularNouns                   UserProfileManager.psm1              425 The cmdlet 'Get-WiFiProfiles' uses a plural noun.…
PSUseSingularNouns                   UserProfileManager.psm1              463 The cmdlet 'Get-MRULocations' uses a plural noun.…
PSUseSingularNouns                   UserProfileManager.psm1              524 The cmdlet 'Get-CertificateStores' uses a plural …
PSUseSingularNouns                   UserProfileManager.psm1              675 The cmdlet 'Get-PSHelpRepositories' uses a plural…
PSUseSingularNouns                   UserProfileManager.psm1              695 The cmdlet 'Get-ScreensaverSettings' uses a plura…
PSUseSingularNouns                   UserProfileManager.psm1              775 The cmdlet 'Get-RegionalSettings' uses a plural n…
PSUseSingularNouns                   UserProfileManager.psm1              808 The cmdlet 'Get-EnvironmentVariables' uses a plur…
PSUseSingularNouns                   UserProfileManager.psm1              830 The cmdlet 'Get-MappedDrives' uses a plural noun.…
PSUseSingularNouns                   UserProfileManager.psm1              859 The cmdlet 'Get-InstalledFonts' uses a plural nou…
PSUseSingularNouns                   UserProfileManager.psm1             1001 The cmdlet 'Get-QuickAccessLinks' uses a plural n…
PSUseSingularNouns                   UserProfileManager.psm1             1096 The cmdlet 'Get-SearchProviders' uses a plural no…
PSUseSingularNouns                   UserProfileManager.psm1             1443 The cmdlet 'Compare-WingetLists' uses a plural no…
PSUseSingularNouns                   UserProfileManager.psm1             1461 The cmdlet 'Compare-PSModuleLists' uses a plural …
PSUseSingularNouns                   UserProfileManager.psm1             1484 The cmdlet 'Compare-SimpleLists' uses a plural no…
PSUseSingularNouns                   UserProfileManager.psm1             1496 The cmdlet 'Compare-MimeLists' uses a plural noun…
PSUseSingularNouns                   UserProfileManager.psm1             1513 The cmdlet 'Compare-ConfigFileLists' uses a plura…
PSUseSingularNouns                   WorkspaceIntentReview.psm1           366 The cmdlet 'Get-ChangeLogEntries' uses a plural n…
PSUseToExportFieldsInManifest        _TEMPLATE-Module.psd1                 13 Do not use wildcard or $null in this field. Expli…
PSUseToExportFieldsInManifest        PwShGUI-NetworkTools.psd1             76 Do not use wildcard or $null in this field. Expli…
PSUseToExportFieldsInManifest        PwShGUI-SchemaTranslator.psd1         76 Do not use wildcard or $null in this field. Expli…
PSUseToExportFieldsInManifest        RE-memorAiZ.psd1                      76 Do not use wildcard or $null in this field. Expli…
PSUseToExportFieldsInManifest        WorkspaceIntentReview.psd1            76 Do not use wildcard or $null in this field. Expli…


