"seq","category","name","value","unicode"
"1","mdIcons","Gear",":gear:","U+2699"
"2","mdIcons","Pushpin",":pushpin:","U+1F4CC"
"3","mdIcons","Page Facing Up",":page_facing_up:","U+1F4C4"
"4","mdIcons","Clipboard",":clipboard:","U+1F4CB"
"5","mdIcons","Test Tube",":test_tube:","U+1F9EA"
"6","mdIcons","Repeat",":repeat:","U+1F501"
"7","mdIcons","Shield",":shield:","U+1F6E1"
"8","mdIcons","Bug",":bug:","U+1F41B"
"9","mdIcons","Wrench",":wrench:","U+1F527"
"10","mdIcons","Rocket",":rocket:","U+1F680"
"11","mdIcons","Warning",":warning:","U+26A0"
"12","mdIcons","Check Mark",":white_check_mark:","U+2705"
"13","emoji","rocket","\uD83D\uDE80","U+1F680"
"14","emoji","brain","\uD83E\uDDE0","U+1F9E0"
"15","emoji","gear","\u2699","U+2699"
"16","emoji","bar_chart","\uD83D\uDCCA","U+1F4CA"
"17","emoji","satellite","\uD83D\uDEF0","U+1F6F0"
"18","emoji","desktop","\uD83D\uDDA5","U+1F5A5"
"19","emoji","test_tube","\uD83E\uDDEA","U+1F9EA"
"20","emoji","books","\uD83D\uDCDA","U+1F4DA"
"21","emoji","shield","\uD83D\uDEE1","U+1F6E1"
"22","emoji","hourglass","\u23F3","U+23F3"
"23","altCharacters","Section","\u00A7","U+00A7"
"24","altCharacters","Pilcrow","\u00B6","U+00B6"
"25","altCharacters","Dagger","\u2020","U+2020"
"26","altCharacters","Pitchfork","\u2E38","U+2E38"
"27","altCharacters","White Flag","\u2691","U+2691"
"28","altCharacters","Almost Equal","\u2248","U+2248"
"29","altCharacters","Not Equal","\u2260","U+2260"
"30","altCharacters","Arrow Right","\u2192","U+2192"
"31","altCharacters","Arrow Left Right","\u2194","U+2194"
"32","altCharacters","Infinity","\u221E","U+221E"
"33","hieroglyphics","A001 Vulture","\uD80C\uDC00","U+13000"
"34","hieroglyphics","A002 Man","\uD80C\uDC01","U+13001"
"35","hieroglyphics","A017 Child","\uD80C\uDC10","U+13010"
"36","hieroglyphics","D036 Arm","\uD80C\uDCE8","U+130E8"
"37","hieroglyphics","G017 Owl","\uD80C\uDD8D","U+1318D"
"38","hieroglyphics","M017 Reed","\uD80C\uDDF0","U+131F0"
"39","hieroglyphics","N035 Water","\uD80C\uDE2A","U+1322A"
"40","hieroglyphics","R004 Sun","\uD80C\uDE8A","U+1328A"
"41","runes","Fehu","\u16A0","U+16A0"
"42","runes","Uruz","\u16A2","U+16A2"
"43","runes","Thurisaz","\u16A6","U+16A6"
"44","runes","Ansuz","\u16A8","U+16A8"
"45","runes","Raidho","\u16B1","U+16B1"
"46","runes","Kenaz","\u16B2","U+16B2"
"47","runes","Gebo","\u16B7","U+16B7"
"48","runes","Wunjo","\u16B9","U+16B9"
"49","musicGenres","Rock","Rock",""
"50","musicGenres","Pop","Pop",""
"51","musicGenres","Jazz","Jazz",""
"52","musicGenres","Blues","Blues",""
"53","musicGenres","Classical","Classical",""
"54","musicGenres","Hip-Hop","Hip-Hop",""
"55","musicGenres","R&B","R&B",""
"56","musicGenres","Electronic","Electronic",""
"57","musicGenres","Techno","Techno",""
"58","musicGenres","House","House",""
"59","musicGenres","Trance","Trance",""
"60","musicGenres","Drum and Bass","Drum and Bass",""
"61","musicGenres","Metal","Metal",""
"62","musicGenres","Punk","Punk",""
"63","musicGenres","Reggae","Reggae",""
"64","musicGenres","Ska","Ska",""
"65","musicGenres","Folk","Folk",""
"66","musicGenres","Country","Country",""
"67","musicGenres","Gospel","Gospel",""
"68","musicGenres","Soul","Soul",""
"69","atomicElements","Hydrogen","Hydrogen",""
"70","atomicElements","Helium","Helium",""
"71","atomicElements","Lithium","Lithium",""
"72","atomicElements","Beryllium","Beryllium",""
"73","atomicElements","Boron","Boron",""
"74","atomicElements","Carbon","Carbon",""
"75","atomicElements","Nitrogen","Nitrogen",""
"76","atomicElements","Oxygen","Oxygen",""
"77","atomicElements","Fluorine","Fluorine",""
"78","atomicElements","Neon","Neon",""
"79","atomicElements","Sodium","Sodium",""
"80","atomicElements","Magnesium","Magnesium",""
"81","atomicElements","Aluminum","Aluminum",""
"82","atomicElements","Silicon","Silicon",""
"83","atomicElements","Phosphorus","Phosphorus",""
"84","atomicElements","Sulfur","Sulfur",""
"85","atomicElements","Chlorine","Chlorine",""
"86","atomicElements","Argon","Argon",""
"87","atomicElements","Potassium","Potassium",""
"88","atomicElements","Calcium","Calcium",""
"89","religions","Christianity","Christianity",""
"90","religions","Islam","Islam",""
"91","religions","Hinduism","Hinduism",""
"92","religions","Buddhism","Buddhism",""
"93","religions","Judaism","Judaism",""
"94","religions","Sikhism","Sikhism",""
"95","religions","Jainism","Jainism",""
"96","religions","Shinto","Shinto",""
"97","religions","Taoism","Taoism",""
"98","religions","Baha'i","Baha'i",""
"99","hormones","Insulin","Insulin",""
"100","hormones","Glucagon","Glucagon",""
"101","hormones","Cortisol","Cortisol",""
"102","hormones","Adrenaline","Adrenaline",""
"103","hormones","Noradrenaline","Noradrenaline",""
"104","hormones","Thyroxine","Thyroxine",""
"105","hormones","Triiodothyronine","Triiodothyronine",""
"106","hormones","Melatonin","Melatonin",""
"107","hormones","Serotonin","Serotonin",""
"108","hormones","Dopamine","Dopamine",""
"109","hormones","Oxytocin","Oxytocin",""
"110","hormones","Vasopressin","Vasopressin",""
"111","medications","Acetaminophen","Acetaminophen",""
"112","medications","Ibuprofen","Ibuprofen",""
"113","medications","Amoxicillin","Amoxicillin",""
"114","medications","Azithromycin","Azithromycin",""
"115","medications","Metformin","Metformin",""
"116","medications","Atorvastatin","Atorvastatin",""
"117","medications","Lisinopril","Lisinopril",""
"118","medications","Amlodipine","Amlodipine",""
"119","medications","Omeprazole","Omeprazole",""
"120","medications","Levothyroxine","Levothyroxine",""
"121","medications","Sertraline","Sertraline",""
"122","medications","Albuterol","Albuterol",""
"123","cryptoCurrencies","Bitcoin","Bitcoin",""
"124","cryptoCurrencies","Ethereum","Ethereum",""
"125","cryptoCurrencies","Tether","Tether",""
"126","cryptoCurrencies","BNB","BNB",""
