"path","action","before","after","note"
"modules/_TEMPLATE-Module.psm1","unchanged","2607.B6.V53.0","",""
"modules/AssistedSASC.psm1","unchanged","2607.B6.V53.0","",""
"modules/AVPN-Tracker.psm1","unchanged","2607.B6.V53.0","",""
"modules/ConvoVault-BWcli.psm1","unchanged","2607.B6.V53.0","",""
"modules/CronAiAthon-BugTracker.psm1","unchanged","2607.B6.V53.0","",""
"modules/CronAiAthon-ErrorLinker.psm1","unchanged","2607.B6.V53.0","",""
"modules/CronAiAthon-EventLog.psm1","unchanged","2607.B6.V53.0","",""
"modules/CronAiAthon-Pipeline.psm1","unchanged","2607.B6.V53.0","",""
"modules/CronAiAthon-Scheduler.psm1","unchanged","2607.B6.V53.0","",""
"modules/Get-LaunchTelemetry.psm1","unchanged","2607.B6.V53.0","",""
"modules/Import-WorkspaceModule.psm1","unchanged","2607.B6.V53.0","",""
"modules/PKIChainManager.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwSh-HelpFilesUpdateSource-ReR.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI_AutoIssueFinder.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-AgentScorecard.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-AiActionLog.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-AutoRemediate.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-BreakingChange.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-CheckpointPrune.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-ConvoVault.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-CoverageReport.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-DependencyMap.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-EventLogAdapter.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-EventLogReplay.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-HistoryZip.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-IntegrityCore.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-KillSwitch.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-LaunchTimingProfile.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-LegacyEncoding.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-ManifestDiff.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-NetworkTools.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-PesterParallel.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-PSScriptAnalyzerScan.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-PSVersionStandards.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-SchemaTranslator.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-SecretScan.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-SessionMetrics.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-SinDriftScan.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-SinFixBranch.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-SinFromScan.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-SinHeatmap.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-Theme.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-TrayHost.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-TrayServiceRoutes.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-VersionManager.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-VersionTag.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-WebEngineServices.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-WorkspaceSeed.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUI-XhtmlReportTester.psm1","unchanged","2607.B6.V53.0","",""
"modules/PwShGUICore.psm1","unchanged","2607.B6.V53.0","",""
"modules/RE-memorAiZ.psm1","unchanged","2607.B6.V53.0","",""
"modules/SASC-Adapters.psm1","unchanged","2607.B6.V53.0","",""
"modules/SINGovernance.psm1","unchanged","2607.B6.V53.0","",""
"modules/UserProfileManager.psm1","unchanged","2607.B6.V53.0","",""
"modules/WorkspaceIntentReview.psm1","unchanged","2607.B6.V53.0","",""
"scripts/Add-VersionTag.ps1","unchanged","2607.B6.V53.0","",""
"scripts/Add-XhtmlVersionLink.ps1","unchanged","2607.B6.V53.0","",""
"scripts/Apply-CanonicalVersion.ps1","unchanged","2607.B6.V53.0","",""
"scripts/Build-AgenticManifest.ps1","unchanged","2607.B6.V53.0","",""
"scripts/Build-DirectoryTree.ps1","unchanged","2607.B6.V53.0","",""
"scripts/Build-DynaManifest.ps1","unchanged","2607.B6.V53.0","",""
"scripts/Build-SandboxTestingPlan.ps1","unchanged","2607.B6.V53.0","",""
"scripts/Build-ScanToolsManifest.ps1","unchanged","2607.B6.V53.0","",""
"scripts/Build-ToolsInventory.ps1","unchanged","2607.B6.V53.0","",""
"scripts/Build-XhtmlVersionFeed.ps1","unchanged","2607.B6.V53.0","",""
"scripts/Convert-SinScanToBugs.ps1","unchanged","2607.B6.V53.0","",""
"scripts/ConvertTo-FeatureToDo.ps1","unchanged","2607.B6.V53.0","",""
"scripts/Export-SystemReport.ps1","unchanged","2607.B6.V53.0","",""
"scripts/Find-ModuleReferences.ps1","unchanged","2607.B6.V53.0","",""
"scripts/fix_check_version.ps1","unchanged","2607.B6.V53.0","",""
